;RPMDiz;Udz;Ud;Ugen;Iv;Igen;alpha16;TestV;ChopReg;UUAL;UUBL;UUCL;IaL;IbL;IcL;IdzL;IdL;IqzL;IqL;E_MaxL;E_LineL;E_ampL;IqLCurLim;fUmL;UkdL;UkqL;UUdL;UUqL;ThetaL;SpeedLz1_16;DeltaSpeedL1;DeltaSpeedL;SpeedL;SpeedLz;Iaz;ImL;UdSIL;UqSIL;UAlphaSIL;UUAR;UUBR;UUCR;IaR;IbR;IcR;IdzR;IdR;IqzR;IqR;E_MaxR;E_LineR;E_ampR;IqRCurLim;fUmR;sdELint;sdERint;UUdR;UUqR;ThetaR;SpeedRz1_16;DeltaSpeedR1;DeltaSpeedR;SpeedR;SpeedRz;EAlphaInstL;EBetaInstL;EAlphaInstR;EBetaInstR;AverageCarSpeed;M1;CTR_CAP4;CTR_CAP1;CTR_CAP2;freq_3_harm;PowerMax16;PowerL16;PowerR16;UAlphaSIR;UBetaSIR;LimitSummSpeedL;LimitSummSpeedR;SpeedLzCruize;SpeedRzCruize;UAlphaSIL;UBetaSIL;IqzLCruize;IqzRCruize;SummSpeedLint;SummSpeedRint;PowerUvtr;DeltaSpeedLCruize;DeltaSpeedRCruize;IfRMSL;iffL;Faults1;Faults2;FaultsC;FaultsDINV;FaultsDCHOP;
429;1900;650;657;764;192;734;64;1234;0;3989;15441;18069;-2083;1669;500;813;835;2055;2023;357;192;194;2055;8527;59;-195;-483;8632;8602;3000;2689;117;311;2640;-1382;862;-12;224;-221;5015;19134;13350;-1387;2318;-876;779;790;2155;2167;357;184;182;2155;8209;798;784;-766;8161;5188;3000;2701;97;299;2640;-198;-23;-152;95;304;16723;6098;3497;7902;380;1384;676;663;-194;86;30;30;119;119;-221;-39;0;0;-30;30;1092;-185;-185;0;0;0;0;0;0;0;
430;1900;650;656;761;184;730;64;1234;0;4075;14497;18927;-2096;1539;660;788;828;2052;1990;357;192;196;2052;8531;59;-190;-660;8781;9011;3000;2689;117;311;2640;-1515;865;-17;228;-219;4769;18772;13958;-1513;2272;-745;794;808;2156;2160;357;184;182;2156;8209;798;784;-733;8183;5598;3000;2701;97;299;2640;-196;-26;-162;82;304;16312;8320;5719;1324;380;1384;682;663;-201;72;30;30;119;119;-219;-66;0;0;-30;30;1092;-185;-185;0;0;0;0;0;0;0;
431;1900;650;659;783;194;743;73;1234;0;4294;14336;18869;-2146;1399;804;778;781;2048;2027;357;192;198;2048;8542;58;-186;-495;8600;9284;3000;2689;117;311;2640;-1647;882;-12;223;-213;4584;18326;14589;-1646;2231;-573;794;808;2157;2161;357;184;181;2157;8209;798;784;-739;8172;6007;3000;2701;96;299;2640;-195;-43;-165;72;304;15672;1799;7969;3594;380;1384;671;663;-205;56;30;30;119;119;-213;-68;0;0;-30;30;1092;-185;-185;0;0;0;0;0;0;0;
432;1900;650;660;784;184;727;73;1234;0;4577;13385;19537;-2165;1286;972;768;788;2047;2024;357;192;196;2047;8544;59;-185;-612;8662;9694;3000;2689;118;311;2640;-1727;867;-15;225;-205;4663;18270;14566;-1760;2178;-389;799;753;2157;2174;357;184;182;2157;8209;798;784;-471;8110;6281;3000;2701;96;299;2640;-187;-53;-173;63;304;15789;3977;1377;5772;380;1384;674;665;-203;55;30;30;119;119;-205;-92;0;0;-30;30;1092;-185;-185;0;0;0;0;0;0;0;
433;1900;650;657;759;193;740;73;1234;0;4748;13299;19452;-2191;1154;1110;778;754;2045;2056;357;192;196;2045;8549;58;-185;-405;8518;9967;3000;2689;118;311;2640;-1806;878;-10;221;-201;4634;18026;14839;-1856;2118;-226;794;713;2157;2183;357;184;182;2157;8206;798;784;-342;8072;6554;3000;2701;96;299;2640;-185;-69;-174;58;304;15347;6200;3600;7995;380;1384;666;667;-204;47;30;30;119;119;-201;-92;0;0;-30;30;1092;-185;-185;0;0;0;0;0;0;0;
434;1900;650;658;759;181;716;73;1234;0;5051;12404;20045;-2167;1003;1236;778;759;2045;2034;357;192;195;2045;8549;58;-187;-458;8646;10377;3000;2689;119;311;2640;-1878;867;-11;224;-193;4770;17646;15083;-1971;2063;-97;794;694;2157;2226;357;184;180;2157;8201;798;784;-241;7867;6827;3000;2701;96;299;2640;-178;-76;-171;50;304;15283;8421;5821;1446;380;1384;674;653;-200;38;30;30;119;119;-193;-114;0;0;-30;30;1092;-185;-185;0;0;0;0;0;0;0;
435;1900;650;655;781;193;743;71;1234;0;5223;12309;19968;-2165;867;1361;783;729;2043;2058;357;192;196;2043;8553;58;-186;-280;8511;10650;3000;2689;119;311;2640;-1978;879;-7;221;-189;4495;16866;16138;-2024;2026;2;804;779;2161;2202;357;184;177;2161;8188;798;784;-545;7998;7236;3000;2701;96;299;2640;-176;-89;-172;33;304;14852;1927;8141;3735;380;1384;669;654;-208;10;30;30;119;119;-189;-114;0;0;-30;30;1092;-185;-185;0;0;0;0;0;0;0;
436;1900;650;649;779;181;717;71;1234;0;6128;10647;20725;-2156;741;1486;778;813;2043;2042;357;192;190;2043;8552;59;-189;-692;8602;11196;3000;2689;119;311;2640;-2039;835;-17;223;-165;4480;16754;16265;-2070;1969;116;819;789;2165;2191;357;184;179;2165;8182;798;784;-432;8014;7509;3000;2701;95;299;2640;-158;-97;-181;20;304;16435;4103;1587;5911;380;1384;664;662;-208;7;30;30;119;119;-165;-151;0;0;-30;30;1092;-185;-185;0;0;0;0;0;0;0;
437;1900;650;643;758;193;749;71;1234;0;5963;11024;20513;-2110;568;1600;808;758;2044;2056;357;192;193;2044;8555;59;-194;-233;8527;11469;3000;2689;119;311;2640;-2120;858;-6;221;-169;4296;15829;17374;-2095;1896;216;804;858;2166;2142;357;183;179;2166;8176;798;784;-806;8213;7919;3000;2702;95;298;2640;-156;-120;-180;11;304;15428;6331;3814;8139;380;1384;670;668;-213;-23;30;30;119;119;-169;-142;0;0;-30;30;1092;-185;-185;0;0;0;0;0;0;0;
438;1900;650;641;762;181;717;71;1234;0;6575;10101;20824;-2046;398;1713;793;751;2043;2048;357;192;192;2043;8554;59;-192;-325;8565;11878;3000;2689;119;311;2640;-2186;849;-8;222;-154;4439;15083;17977;-2165;1815;353;804;900;2166;2142;357;183;179;2166;8179;798;784;-947;8178;8329;3000;2702;94;298;2640;-153;-116;-180;-10;304;15226;8549;6032;1626;380;1384;671;660;-209;-43;30;30;119;119;-154;-160;0;0;-30;30;1092;-185;-185;0;0;0;0;0;0;0;
