;RPMDiz;Udz;Ud;Ugen;Iv;Igen;alpha16;TestV;ChopReg;UUAL;UUBL;UUCL;IaL;IbL;IcL;IdzL;IdL;IqzL;IqL;E_MaxL;E_LineL;E_ampL;IqLCurLim;fUmL;UkdL;UkqL;UUdL;UUqL;ThetaL;SpeedLz1_16;DeltaSpeedL1;DeltaSpeedL;SpeedL;SpeedLz;Iaz;ImL;UdSIL;UqSIL;UAlphaSIL;UUAR;UUBR;UUCR;IaR;IbR;IcR;IdzR;IdR;IqzR;IqR;E_MaxR;E_LineR;E_ampR;IqRCurLim;fUmR;sdELint;sdERint;UUdR;UUqR;ThetaR;SpeedRz1_16;DeltaSpeedR1;DeltaSpeedR;SpeedR;SpeedRz;EAlphaInstL;EBetaInstL;EAlphaInstR;EBetaInstR;AverageCarSpeed;M1;CTR_CAP4;CTR_CAP1;CTR_CAP2;freq_3_harm;PowerMax16;PowerL16;PowerR16;UAlphaSIR;UBetaSIR;LimitSummSpeedL;LimitSummSpeedR;SpeedLzCruize;SpeedRzCruize;UAlphaSIL;UBetaSIL;IqzLCruize;IqzRCruize;SummSpeedLint;SummSpeedRint;PowerUvtr;DeltaSpeedLCruize;DeltaSpeedRCruize;IfRMSL;iffL;Faults1;Faults2;FaultsC;FaultsDINV;FaultsDCHOP;
0;1895;650;704;761;192;714;64;1234;5600;11052;25000;2130;546;986;-1523;821;800;1182;1324;357;314;313;1182;13355;54;-313;1984;12740;956;2853;2343;291;510;2640;1410;877;50;329;-36;25000;12359;0;1440;-742;-662;764;791;1186;1203;357;315;324;1186;13496;851;829;1619;13389;27443;2849;2338;290;511;2640;-15;307;290;138;513;10486;39;6168;1893;379;1388;645;661;302;170;30;30;0;0;-36;331;0;0;13;-18;1321;-513;-513;0;13;0;0;0;0;0;
12345;1895;650;682;778;203;771;34;1234;5040;9037;25000;3537;403;1157;-1516;856;859;1186;1343;357;314;305;1186;13337;54;-329;1857;12691;1638;2853;2343;291;510;2640;1415;847;47;327;-89;22714;14345;0;1547;-567;-905;784;822;1187;1324;357;315;313;1187;13496;851;829;1547;12900;28126;2849;2338;290;511;2640;-60;291;251;169;513;11421;2309;179;4172;379;1388;642;637;262;206;30;30;0;0;-89;319;0;0;13;-18;1203;-513;-513;0;13;0;0;0;0;0;
75;1895;650;648;778;193;728;34;1234;4536;8386;25000;3976;200;1231;-1446;896;811;1190;1330;357;314;304;1190;13317;54;-344;2284;12690;2185;2853;2343;290;510;2640;1436;845;58;327;-105;21787;15263;0;1618;-403;-1076;839;869;1192;1418;357;315;305;1192;13476;851;829;1572;12528;28672;2849;2338;290;511;2640;-82;292;225;194;513;10678;4485;2355;6348;379;1388;662;625;239;220;30;30;0;0;-105;315;0;0;13;-18;1092;-513;-513;0;12;0;0;0;0;0;
15;1895;650;627;757;220;855;34;1234;4083;6978;25000;4999;77;1269;-1343;901;820;1191;1267;357;314;307;1191;13301;54;-345;2229;12883;2731;2854;2344;290;510;2640;1438;854;56;332;-142;21328;16405;0;1486;-253;-1140;879;832;1200;1333;357;315;305;1200;13442;851;829;1901;12909;29218;2849;2338;289;511;2640;-110;290;217;216;513;10285;6706;4576;38;379;1388;669;661;227;247;30;30;0;0;-142;306;0;0;13;-18;985;-513;-513;0;12;0;0;0;0;0;
1;1895;650;622;758;213;832;34;1234;3675;5442;25000;6151;-3;1240;-1250;886;842;1191;1164;357;314;313;1191;13292;54;-339;2111;13247;3277;2854;2344;289;510;2640;1391;872;53;342;-182;20497;17709;0;1345;-126;-1183;879;795;1201;1244;357;315;309;1201;13427;851;829;2022;13151;29764;2850;2339;288;511;2640;-145;284;205;238;513;9702;8928;6798;2261;379;1388;682;676;205;274;30;30;0;0;-182;294;0;0;13;-18;985;-513;-513;0;12;0;0;0;0;0;
2;1890;650;613;775;230;915;95;1234;3308;3927;25000;7533;-75;1249;-1141;856;867;1189;1074;357;314;319;1189;13296;54;-327;1921;13565;3823;2854;2344;289;510;2640;1291;890;48;350;-220;18501;19946;0;1283;-23;-1209;859;863;1200;1169;357;315;310;1200;13423;851;829;1631;13375;30447;2850;2339;287;511;2640;-180;271;167;264;513;9218;2266;8448;4065;378;1388;686;672;154;310;30;30;0;0;-220;275;0;0;13;-18;985;-513;-513;0;12;0;0;0;0;0;
50;1890;650;624;775;216;852;95;1234;2978;2077;25000;9691;-189;1264;-1042;826;889;1186;1008;357;314;322;1186;13312;54;-318;1731;13836;4506;2854;2344;290;510;2640;1206;892;44;357;-268;17638;20939;0;1175;96;-1222;855;853;1200;1108;357;315;317;1200;13425;851;830;1744;13600;30993;2850;2339;288;511;2640;-220;241;143;292;514;8871;4441;1570;6240;378;1388;690;687;132;327;30;30;0;0;-268;238;0;0;13;-18;985;-514;-514;0;12;0;0;0;0;0;
10;1890;650;635;752;221;862;95;1234;2681;1500;25000;10676;-376;1311;-907;811;841;1183;1034;357;314;327;1183;13337;54;-312;1897;13746;5052;2855;2345;290;510;2640;1076;907;48;354;-284;16266;22076;0;1055;246;-1263;820;822;1197;1093;357;315;323;1197;13436;851;830;1721;13650;31539;2850;2339;288;511;2640;-248;221;118;307;514;8608;6665;3794;8464;378;1388;687;683;96;341;30;30;0;0;-284;217;0;0;13;-18;985;-514;-514;0;13;0;0;0;0;0;
10;1890;650;644;756;198;750;95;1234;2413;0;25000;12098;-583;1366;-769;786;804;1180;1100;357;314;327;1180;13358;54;-302;1901;13547;5598;2855;2345;291;510;2640;938;909;48;350;-300;14840;23028;0;935;396;-1335;789;796;1195;1112;357;315;325;1195;13448;851;829;1700;13604;32085;2850;2339;288;511;2640;-264;194;84;317;514;8755;298;6017;1633;378;1388;676;678;59;348;30;30;0;0;-300;184;0;0;13;-18;1092;-514;-514;0;13;0;0;0;0;0;
2;1895;650;640;775;201;776;79;1234;2172;0;23520;13550;-786;1483;-616;786;818;1179;1189;357;314;323;1179;13370;54;-301;1814;13250;6144;2855;2345;292;510;2640;779;899;46;342;-311;12916;25000;0;819;596;-1403;779;819;1194;1154;357;315;321;1194;13458;851;829;1549;13477;0;2851;2340;289;511;2640;-278;157;39;316;514;9628;2557;122;4393;379;1388;659;667;9;349;30;30;0;0;-311;148;0;0;13;-18;1092;-514;-514;0;13;0;0;0;0;0;
