;RPMDiz;Udz;Ud;Ugen;Iv;Igen;alpha16;TestV;ChopReg;UUAL;UUBL;UUCL;IaL;IbL;IcL;IdzL;IdL;IqzL;IqL;E_MaxL;E_LineL;E_ampL;IqLCurLim;fUmL;UkdL;UkqL;UUdL;UUqL;ThetaL;SpeedLz1_16;DeltaSpeedL1;DeltaSpeedL;SpeedL;SpeedLz;Iaz;ImL;UdSIL;UqSIL;UAlphaSIL;UUAR;UUBR;UUCR;IaR;IbR;IcR;IdzR;IdR;IqzR;IqR;E_MaxR;E_LineR;E_ampR;IqRCurLim;fUmR;sdELint;sdERint;UUdR;UUqR;ThetaR;SpeedRz1_16;DeltaSpeedR1;DeltaSpeedR;SpeedR;SpeedRz;EAlphaInstL;EBetaInstL;EAlphaInstR;EBetaInstR;AverageCarSpeed;M1;CTR_CAP4;CTR_CAP1;CTR_CAP2;freq_3_harm;PowerMax16;PowerL16;PowerR16;UAlphaSIR;UBetaSIR;LimitSummSpeedL;LimitSummSpeedR;SpeedLzCruize;SpeedRzCruize;UAlphaSIL;UBetaSIL;IqzLCruize;IqzRCruize;SummSpeedLint;SummSpeedRint;PowerUvtr;DeltaSpeedLCruize;DeltaSpeedRCruize;IfRMSL;iffL;Faults1;Faults2;FaultsC;FaultsDINV;FaultsDCHOP;
232;1820;940;934;1098;191;463;78;1234;0;0;8821;25000;-917;458;507;323;325;897;857;496;822;490;897;17334;108;-570;-1964;17371;10240;3000;1667;348;1333;2640;-831;288;-60;540;-402;5461;2247;25000;-812;-30;830;234;174;908;935;490;913;489;908;17316;283;219;-2939;17143;12015;3000;1520;346;1480;2640;-391;-298;-230;-435;1409;5038;3138;284;4972;364;1384;698;693;-218;-493;30;30;442;442;-402;-364;0;0;37;-37;2295;-967;-967;0;76;0;0;0;0;0;
233;1820;940;941;1079;219;567;72;1234;0;25000;0;7702;606;-904;314;305;259;899;891;497;824;490;899;17370;108;-575;-1756;17343;21572;3000;1665;348;1335;2640;862;269;-54;536;522;20593;21758;0;884;-109;-702;235;266;907;909;493;913;487;907;17335;285;220;-3113;17083;27989;3000;1520;346;1480;2640;462;-157;262;408;1407;4465;5794;2995;7613;364;1384;698;689;251;477;30;30;442;442;522;-129;0;0;37;-37;2295;-965;-965;0;77;0;0;0;0;0;
234;1820;940;934;1076;189;466;79;1234;0;5889;25000;1582;318;596;-866;286;340;895;835;495;826;495;895;17403;108;-560;-2225;17566;137;3000;1662;348;1338;2640;-911;261;-68;542;-203;3635;3860;25000;-915;268;650;282;336;912;878;493;910;483;912;17317;286;222;-3244;17203;11332;3000;1526;345;1474;2640;-144;475;-278;-399;1404;5723;8461;5868;1216;364;1384;699;688;-275;-468;30;30;442;442;-203;507;0;0;36;-36;2295;-962;-962;0;77;0;0;0;0;0;
235;1820;940;938;1100;217;600;86;1234;0;2107;5337;25000;-808;133;713;245;204;890;849;490;826;499;890;17420;107;-579;-1824;17561;11469;3000;1662;349;1338;2640;910;217;-55;539;-318;23189;19152;0;838;-145;-633;228;152;912;870;492;913;491;912;17336;285;223;-2873;17261;27170;3000;1521;345;1479;2640;-326;-380;331;363;1406;4239;2105;8438;3913;364;1384;700;703;331;430;30;30;442;442;-318;-438;0;0;37;-37;2295;-964;-964;0;78;0;0;0;0;0;
236;1820;940;936;1101;203;525;81;1234;0;25000;4248;3772;842;-920;64;319;280;902;976;490;827;482;902;17357;109;-764;-2046;16860;22938;3000;1659;347;1341;2640;-934;206;-62;520;524;0;7062;25000;-930;399;503;240;300;912;882;493;912;490;912;17354;284;225;-3382;17325;10240;3000;1522;345;1478;2640;481;-25;-358;-334;1407;6775;4637;2044;6478;364;1384;674;695;-365;-404;30;30;442;442;524;8;0;0;36;-36;2295;-965;-965;0;77;0;0;0;0;0;
237;1825;940;937;1079;207;576;85;1234;0;1599;25000;5835;28;770;-760;254;299;897;831;492;826;502;897;17384;108;-562;-2448;17567;1638;3000;1661;348;1339;2640;934;233;-75;542;-336;25000;15102;0;920;-220;-632;224;34;908;949;489;911;487;908;17403;284;224;-2691;17024;26078;3000;1524;346;1476;2640;-280;422;403;270;1406;5680;7519;4623;47;365;1384;701;689;415;333;30;30;442;442;-336;432;0;0;36;-36;2295;-964;-964;0;77;0;0;0;0;0;
238;1820;940;937;1097;214;551;61;1234;0;8319;0;25000;-822;-91;926;319;344;901;949;495;829;486;901;17309;109;-774;-2141;17007;13244;3000;1656;348;1344;2640;-954;205;-66;528;-129;0;10872;25000;-1030;671;311;297;391;916;975;492;908;480;916;17253;284;227;-3141;16897;9148;3000;1528;345;1472;2640;-151;-460;-412;-253;1408;8182;888;7072;2577;364;1384;682;682;-437;-311;30;30;442;442;-129;-516;0;0;36;-36;2295;-966;-966;0;76;0;0;0;0;0;
239;1825;940;951;1101;192;464;87;1234;0;25000;9757;0;795;-566;-218;269;241;894;783;495;830;504;894;17338;108;-537;-1907;17712;24849;3000;1655;348;1345;2640;922;261;-58;550;516;25000;10964;0;796;-496;-292;247;158;911;788;493;910;494;911;17298;284;227;-2723;17528;24849;3000;1526;345;1474;2640;490;144;471;169;1409;3863;3866;970;5697;365;1384;714;714;499;233;30;30;442;442;516;199;0;0;36;-36;2295;-967;-967;0;76;0;0;0;0;0;
240;1820;940;945;1080;213;556;73;1234;0;0;25000;12458;-440;993;-558;264;246;887;966;492;831;492;887;17331;107;-599;-1846;17085;3686;3000;1654;350;1346;2640;-898;223;-57;531;-461;0;13731;25000;-931;963;-48;229;533;912;960;493;907;486;912;17308;284;229;-4377;16862;7919;3000;1530;345;1470;2640;-404;276;-449;-171;1408;5549;6370;3392;8146;364;1384;684;671;-486;-236;30;30;442;442;-461;267;0;0;36;-36;2295;-966;-966;0;76;0;0;0;0;0;
241;1820;940;952;1076;199;496;82;1234;0;14737;0;25000;-415;-435;850;280;251;892;811;494;828;499;892;17336;108;-633;-1868;17597;15292;3000;1658;349;1342;2640;853;227;-57;546;69;25000;7553;0;713;-770;54;295;337;923;787;495;909;491;923;17249;285;230;-3079;17527;23620;3000;1527;343;1473;2640;23;-503;494;85;1408;4735;49;6408;1810;364;1384;707;717;539;133;30;30;442;442;69;-545;0;0;36;-36;2295;-966;-966;0;76;0;0;0;0;0;
