;RPMDiz;Udz;Ud;Ugen;Iv;Igen;alpha16;TestV;ChopReg;UUAL;UUBL;UUCL;IaL;IbL;IcL;IdzL;IdL;IqzL;IqL;E_MaxL;E_LineL;E_ampL;IqLCurLim;fUmL;UkdL;UkqL;UUdL;UUqL;ThetaL;SpeedLz1_16;DeltaSpeedL1;DeltaSpeedL;SpeedL;SpeedLz;Iaz;ImL;UdSIL;UqSIL;UAlphaSIL;UUAR;UUBR;UUCR;IaR;IbR;IcR;IdzR;IdR;IqzR;IqR;E_MaxR;E_LineR;E_ampR;IqRCurLim;fUmR;sdELint;sdERint;UUdR;UUqR;ThetaR;SpeedRz1_16;DeltaSpeedR1;DeltaSpeedR;SpeedR;SpeedRz;EAlphaInstL;EBetaInstL;EAlphaInstR;EBetaInstR;AverageCarSpeed;M1;CTR_CAP4;CTR_CAP1;CTR_CAP2;freq_3_harm;PowerMax16;PowerL16;PowerR16;UAlphaSIR;UBetaSIR;BrakeSpeedMAX;fUseDeltaThetaSlip;SpeedLzCruize;SpeedRzCruize;UAlphaSIL;UBetaSIL;IqzLCruize;IqzRCruize;SummSpeedLint;SummSpeedRint;PowerUvtr;DeltaSpeedLCruize;DeltaSpeedRCruize;IfRMSL;iffL;Faults1;Faults2;FaultsC;FaultsDINV;FaultsDCHOP;
302;1465;805;878;821;97;5;101;1234;11500;22173;0;14905;-810;392;426;709;710;-382;-388;442;402;398;1016;12875;-22;-357;-2909;12452;19115;652;0;75;652;652;-537;843;-93;400;311;25000;7859;4390;-547;-290;874;717;760;-414;-415;442;408;401;1010;12966;679;672;-3000;12556;23620;662;0;82;662;662;316;-247;395;80;328;-2870;3877;138;5811;293;1033;-328;-352;409;63;0;0;309;309;311;-269;-380;-410;30;-30;0;-19;-19;0;5;0;0;0;0;0;
303;1465;805;876;821;97;9;101;1234;11400;23127;1159;13214;-780;257;504;699;705;-376;-362;442;402;398;1016;12872;-21;-353;-2919;12365;19797;652;0;76;652;652;-426;837;-93;398;342;25000;10147;2562;-465;-440;891;707;779;-408;-444;442;408;403;1011;12964;679;672;-3139;12666;24439;662;0;82;662;662;343;-201;373;160;328;-2677;6098;2359;8032;293;1033;-322;-354;394;140;0;0;309;309;342;-224;-380;-410;30;-30;0;-19;-19;0;5;0;0;0;0;0;
304;1465;805;865;798;98;7;101;1234;10760;23757;2292;11452;-721;105;615;699;717;-380;-301;442;402;395;1017;12866;-21;-357;-2973;12078;20480;652;0;75;652;652;-336;820;-95;388;362;25000;11495;1732;-376;-526;850;697;750;-412;-456;442;408;406;1011;12967;679;672;-3066;12689;25122;662;0;81;662;662;363;-147;360;194;328;-2295;8320;4581;10254;293;1033;-321;-353;378;180;0;0;309;309;362;-170;-380;-410;30;-30;0;-19;-19;0;5;0;0;0;0;0;
305;1465;805;853;802;96;9;101;1234;9684;25000;3674;9337;-668;-1;700;714;719;-384;-302;442;402;393;1021;12849;-22;-367;-2912;12082;21299;652;0;76;652;652;-235;811;-93;389;386;23335;13252;0;-243;-632;773;682;731;-406;-425;442;408;404;1011;12970;679;672;-3098;12593;25805;662;0;82;662;662;384;-75;326;237;328;-2309;10545;6806;1112;293;1033;-323;-346;347;228;0;0;309;309;386;-105;-380;-410;30;-30;0;-19;-19;0;5;0;0;0;0;0;
306;1465;805;851;821;96;8;99;1234;8716;25000;4514;8270;-598;-13;754;724;673;-378;-314;442;402;390;1024;12833;-21;-365;-2670;12118;21982;652;0;76;652;652;-113;824;-85;390;393;21349;15434;0;23;-687;633;692;712;-410;-270;442;408;393;1011;12970;679;672;-2998;11898;26624;662;0;81;662;662;386;-43;256;285;328;-2201;1462;9085;3395;293;1033;-313;-333;283;272;0;0;309;309;393;-69;-380;-410;30;-30;0;-19;-19;0;5;0;0;0;0;0;
307;1465;805;854;823;98;10;99;1234;7845;25000;5642;6670;-616;-111;762;739;691;-382;-394;442;402;395;1025;12817;-22;-367;-2709;12411;22665;652;0;75;652;652;15;847;-87;399;408;20792;16481;0;63;-739;593;747;697;-414;-329;442;408;395;1018;12942;679;672;-2717;12226;27307;662;0;82;662;662;400;6;238;319;328;-2797;3637;11260;5570;293;1033;-325;-340;266;301;0;0;309;309;408;-19;-380;-410;30;-30;0;-19;-19;0;5;0;0;0;0;0;
308;1465;805;854;817;96;5;99;1234;7061;25000;7054;5029;-608;-214;786;714;703;-376;-456;442;402;398;1025;12813;-21;-347;-2848;12655;23347;652;0;76;652;652;125;873;-91;407;415;19446;18156;0;147;-770;590;738;712;-408;-361;442;408;394;1020;12926;679;673;-2868;12295;27989;662;0;82;662;662;398;52;198;339;328;-3224;5860;2117;7793;293;1033;-327;-342;222;338;0;0;309;309;415;37;-380;-410;30;-30;0;-19;-19;0;4;0;0;0;0;0;
309;1465;805;864;798;97;7;99;1234;6805;25000;9097;3271;-543;-305;805;699;680;-380;-491;442;402;402;1023;12819;-22;-353;-2767;12778;24166;652;0;75;652;652;234;846;-89;411;406;17969;19684;0;251;-822;570;743;745;-412;-390;442;408;396;1022;12914;679;673;-2957;12343;28672;662;0;81;662;662;387;125;150;369;328;-3478;8081;4338;10014;293;1033;-327;-349;175;367;0;0;309;309;406;108;-380;-410;30;-30;0;-19;-19;0;5;0;0;0;0;0;
310;1465;805;878;802;101;8;99;1234;11500;25000;10507;2466;-416;-395;766;679;647;-384;-450;442;402;403;1019;12829;-22;-349;-2704;12607;24849;652;0;76;652;652;354;832;-87;405;387;15860;21576;0;363;-859;513;733;759;-406;-427;442;408;397;1024;12906;679;673;-3040;12503;29491;662;0;82;662;662;370;161;78;391;328;-3096;10295;6552;861;293;1033;-322;-350;107;398;0;0;309;309;387;149;-380;-410;30;-30;0;-19;-19;0;5;0;0;0;0;0;
311;1465;805;887;819;96;8;99;1234;16000;23574;12175;1752;-245;-491;693;674;626;-378;-365;442;402;398;1017;12831;-21;-355;-2624;12328;25532;652;0;76;652;652;444;801;-84;396;356;14570;22417;0;436;-875;389;728;731;-410;-432;442;408;399;1024;12905;679;673;-2926;12477;30174;662;0;81;662;662;335;205;42;400;328;-2495;1220;8837;3151;293;1033;-309;-347;65;406;0;0;309;309;356;193;-380;-410;30;-30;0;-19;-19;0;5;0;0;0;0;0;
