_TI_args_main;RPMDiz;Udz;Ud;Ugen;Iv;Igen;alpha16;TestV;ChopReg;UUAL;UUBL;UUCL;IaL;IbL;IcL;IdzL;IdL;IqzL;IqL;E_MaxL;E_LineL;E_ampL;IqLCurLim;fUmL;UkdL;UkqL;UUdL;UUqL;ThetaL;SpeedLz1_16;DeltaSpeedL1;DeltaSpeedL;SpeedL;SpeedLz;Iaz;ImL;UdSIL;UqSIL;UAlphaSIL;UUAR;UUBR;UUCR;IaR;IbR;IcR;IdzR;IdR;IqzR;IqR;E_MaxR;E_LineR;E_ampR;IqRCurLim;fUmR;sdELint;sdERint;UUdR;UUqR;ThetaR;SpeedRz1_16;DeltaSpeedR1;DeltaSpeedR;SpeedR;SpeedRz;EAlphaInstL;EBetaInstL;EAlphaInstR;EBetaInstR;AverageCarSpeed;M1;CTR_CAP4;CTR_CAP1;CTR_CAP2;freq_3_harm;PowerMax16;PowerL16;PowerR16;UAlphaSIR;UBetaSIR;BrakeSpeedMAX;fUseDeltaThetaSlip;SpeedLzCruize;SpeedRzCruize;UAlphaSIL;UBetaSIL;IqzLCruize;IqzRCruize;SummSpeedLint;SummSpeedRint;PowerUvtr;DeltaSpeedLCruize;DeltaSpeedRCruize;IfRMSL;iffL;Faults1;Faults2;FaultsC;FaultsDINV;FaultsDCHOP;
1070;1455;831;879;849;100;5;112;1234;7542;4348;25000;8209;781;-416;-347;766;706;-399;-334;457;414;406;917;12877;-23;-379;-2297;12432;2048;671;0;79;671;671;830;875;-76;413;-270;3553;25000;8127;843;-570;-247;731;720;-413;-475;457;421;430;932;13262;721;756;-3062;13231;1911;683;0;82;683;683;-284;291;-307;308;338;-2334;893;8598;2854;291;1026;-334;-380;-295;337;0;1;318;318;-270;321;-400;-414;-18;-14;0;-20;-20;0;5;0;0;0;0;0;
2000;1450;832;862;829;100;5;115;1234;9720;16747;0;20873;-871;775;124;782;860;-399;-397;457;414;410;926;12766;-23;-384;-2630;12572;16521;671;0;79;671;671;-791;891;-87;418;141;17461;0;20419;-792;655;143;771;775;-413;-336;457;422;421;942;13191;722;756;-3024;12637;16657;684;0;82;684;684;165;-384;193;-378;338;-3380;10963;7200;1460;290;1026;-352;-373;164;-397;0;1;318;318;141;-403;-400;-414;-18;-14;0;-20;-20;0;4;0;0;0;0;0;
350;1450;833;884;828;102;5;102;1234;8645;12034;23561;1905;617;-711;138;740;730;-407;-294;458;414;407;904;12926;-24;-381;-2484;12264;31266;671;0;82;671;671;624;840;-81;407;-14;11233;25000;2194;626;-689;50;743;708;-421;-268;458;422;417;920;13311;720;753;-2910;12358;31539;684;0;84;684;684;-45;401;-66;405;338;-2217;9559;5808;61;290;1026;-338;-364;-41;417;0;1;318;318;-14;415;-400;-414;-18;-14;0;-20;-20;0;6;0;0;0;0;0;
444;1450;831;891;823;102;5;111;1234;6183;8166;4455;25000;-427;784;-334;729;731;-399;-251;457;413;409;892;12980;-23;-378;-2467;12319;12971;670;0;79;670;670;-384;840;-81;408;-143;10544;1788;25000;-466;926;-400;682;786;-413;-429;457;421;437;911;13363;719;752;-3432;13202;13653;683;0;82;683;683;-115;-391;-39;-438;338;-1924;8140;4358;10089;290;1026;-333;-385;-64;-445;0;1;318;318;-143;-390;-400;-414;-18;-14;0;-20;-20;0;0;0;0;0;0;0;
400;1460;823;828;886;114;21;96;1234;0;8342;23719;5439;353;-13;-357;427;401;27;47;452;363;364;831;11442;1;-301;1144;11287;2048;588;0;-5;588;588;417;536;37;371;-136;14499;22906;0;400;-367;-48;435;435;3;-62;452;417;417;769;13073;437;425;-159;13320;31266;677;0;0;677;677;-134;337;60;416;316;312;11268;7558;1848;292;1033;38;0;64;432;0;1;318;318;-136;347;40;10;34;-34;0;2;2;0;0;0;0;0;0;0;
80;1460;825;825;884;117;25;101;1234;0;9609;4250;23641;-386;289;120;421;397;19;6;453;364;367;831;11465;1;-308;1104;11511;15019;590;0;-3;590;590;-323;522;36;379;-95;6628;4981;25000;-321;430;-100;399;437;-9;-69;453;418;425;762;13122;436;424;-322;13422;13244;678;0;1;678;678;-90;-357;-181;-388;317;40;10186;6478;766;292;1033;33;-11;-192;-397;0;1;318;318;-95;-369;20;-10;34;-34;0;1;1;0;0;0;0;0;0;0;
350;1450;837;911;846;102;5;114;1234;12900;25000;8842;3847;-550;-367;891;780;766;-439;-491;460;414;405;932;12705;-26;-386;-2305;12434;24166;672;0;87;672;672;-260;875;-77;416;412;23214;13306;0;-231;-616;843;770;764;-453;-421;460;424;417;932;13193;720;750;-2873;12538;25805;688;0;90;688;688;391;119;328;254;340;-3723;3677;11377;5630;290;1026;-364;-393;356;237;0;1;318;318;412;96;-440;-454;-18;-14;0;-22;-22;0;3;0;0;0;0;0;
250;1450;837;883;849;103;4;111;1234;10125;0;20349;17306;732;108;-838;751;807;-419;-425;460;414;412;922;12699;-24;-369;-2570;12517;5871;671;0;84;671;671;472;895;-86;419;-423;0;15251;22144;433;414;-888;764;772;-433;-393;460;424;421;932;13155;721;749;-3065;12654;7919;688;0;87;688;688;-415;33;-391;-157;339;-3395;2214;9920;4168;290;1026;-360;-389;-413;-132;0;1;318;318;-423;58;-420;-434;-18;-14;0;-21;-21;0;3;0;0;0;0;0;
40;1450;838;838;843;102;9;113;1234;11373;23956;1586;11959;-862;264;608;710;749;-431;-469;460;414;418;912;12738;-25;-359;-2557;12672;20480;671;0;86;671;671;-657;882;-85;424;384;25000;6030;5366;-760;-90;844;759;747;-445;-556;460;425;432;932;13153;720;749;-2926;13293;22938;689;0;88;689;689;382;-178;439;37;340;-3578;677;8377;2629;290;1026;-365;-406;454;11;0;1;318;318;384;-200;-440;-454;-18;-14;0;-22;-22;0;3;0;0;0;0;0;
182;1450;838;852;832;104;6;112;1234;12839;4077;25000;8461;862;-533;-353;784;733;-419;-464;460;413;406;921;12715;-24;-386;-2206;12524;2321;670;0;83;670;670;793;880;-73;419;-282;0;21455;15918;661;12;-613;747;671;-449;-340;460;425;421;927;13261;719;747;-2837;12462;5052;689;0;89;689;689;-290;294;-411;72;339;-3367;10656;6884;1123;290;1026;-349;-385;-412;106;0;1;318;318;-282;319;-420;-450;-18;-30;0;-21;-21;0;3;0;0;0;0;0;
